-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2022 ,,,,,,,,,,,,,,
Location: Latitude  27.7175   Longitude 85.3067 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 776.63 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
PS                  MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1983,12.79,15.58,21.34,24.68,28.43,30.52,28.02,26.83,25.55,22.9,18.84,14.62,22.54
T2M,1984,13.15,15.55,22.92,27.58,29.15,27.57,25.36,25.65,23.07,22.12,17.69,14.71,22.05
T2M,1985,13.79,15.96,23.29,27.62,29.15,30.78,25.58,25.59,23.55,20.71,16.67,14.29,22.27
T2M,1986,13.56,16.13,21.49,26.3,27.61,29.55,25.07,25.58,24.22,21.8,18.61,14.9,22.09
T2M,1987,14.2,17.79,21.43,26.48,28.57,31.14,26.79,24.98,24.06,20.8,17.86,14.96,22.44
T2M,1988,14.48,17.6,21.04,27.12,28.62,28.8,25.87,25.06,24.52,22.51,19.4,15.84,22.58
T2M,1989,12.51,15.55,21.25,26.58,29.11,28.86,26.68,25.48,25.29,23.58,18.42,14.73,22.37
T2M,1990,15.85,16.29,20.3,26.14,29.94,29.86,26.02,25.01,24.15,21.62,19.8,15.71,22.58
T2M,1991,13.8,18.52,22.38,26.76,30.51,29.08,27.79,26.3,24.68,23.05,18.19,14.88,23.01
T2M,1992,13.91,15.04,22.63,27.62,28.18,29.65,27.63,26.3,25.33,22.76,18.69,14.83,22.73
T2M,1993,13.33,17.68,19.89,25.53,28.48,29.31,27.74,26.44,24.39,23.18,19.23,15.85,22.61
T2M,1994,15.34,15.99,22.86,26.48,29.8,30,28,27.2,24.92,22.55,19.13,15.29,23.17
T2M,1995,13.43,16.48,21.87,27.02,30.88,29.4,26.3,25.37,24.56,23.25,18.98,14.89,22.73
T2M,1996,13.46,16.63,22.75,26.31,30.35,28.63,26.87,25.32,24.47,22.04,18.78,15.08,22.57
T2M,1997,13.27,15.33,21.69,24.24,28.95,30.2,26.49,25.71,25.08,22.4,19.33,14,22.26
T2M,1998,13.13,16.45,19.76,26.32,29.55,30.58,26.88,25.43,24.63,23.68,20.2,15.73,22.72
T2M,1999,14.31,19.53,23.07,28.11,28.94,29.16,27.08,26.17,25.04,22.8,19.01,15.67,23.25
T2M,2000,14.73,15.26,21.15,27.48,28.85,27.38,26.27,25.71,23.94,23.11,18.97,14.98,22.33
T2M,2001,13.55,17.5,22.15,26.98,28.77,28.3,27.76,26.66,24.15,22.57,19,14.53,22.69
T2M,2002,14.13,17.37,22.2,26.77,27.83,28.89,28.23,26.73,25.69,23.08,19.69,15.33,23.01
T2M,2003,13.07,16.11,20.6,27.3,28.79,29.14,26.72,26.65,25.54,23.4,18.62,14.9,22.59
T2M,2004,13.52,16.59,23.17,26.26,27.35,26.69,24.98,25.34,23.89,20.67,17.39,14.66,21.72
T2M,2005,13.32,16.88,21.94,25.87,27.99,29.69,25.7,25.23,24.46,21.52,17.12,14.83,22.06
T2M,2006,14.24,18.96,21.28,25.55,27.67,26.28,25.79,25.44,23.75,21.63,17.89,14.62,21.94
T2M,2007,13.34,15.02,20.08,26.27,28.15,27.65,25.73,25.06,23.83,21.52,17.67,13.77,21.54
T2M,2008,13.53,14.72,21.51,26.01,27.95,26,25.12,24.84,23.75,21.44,18,15.33,21.54
T2M,2009,14.9,17.74,22.07,26.98,27.38,28.81,27.22,25.26,24.35,21.84,18.59,14.54,22.49
T2M,2010,14.19,16.74,23.73,28.69,28.73,29.51,26.39,25.4,23.79,21.71,18.44,14.31,22.65
T2M,2011,12.08,16.46,21.54,24.99,27.44,27.66,25.15,24.83,24.02,21.76,17.72,14.1,21.5
T2M,2012,12.58,16.6,20.77,26.36,30.31,30.8,26.26,25.11,23.76,19.82,15.74,12.57,21.73
T2M,2013,10.73,15.8,21.58,25.24,27.62,26.53,25.67,24.83,24.23,21.37,17.31,14.22,21.28
T2M,2014,13.05,15.19,20.77,26.6,28.37,29.31,26.12,25.41,23.99,21.12,17.93,14.14,21.86
T2M,2015,13.64,17.35,20.61,24.37,28.93,29.11,26.05,25.38,24.46,21.92,19.08,14.76,22.15
T2M,2016,13.77,18.32,23,28.76,28.11,27.65,25.45,25.83,24.19,22.24,18.48,15.9,22.64
T2M,2017,15.01,18.3,20.74,26.19,28.16,29.11,25.87,25.27,24.66,22.9,18.88,16.68,22.66
T2M,2018,12.83,17.6,22.46,25.02,26.8,27.7,26.48,25.45,24.37,21.68,18.86,14.79,22.01
T2M,2019,14.24,16.49,20.43,25.8,28.77,29.32,26.13,25.75,24,20.87,18.26,12.65,21.9
T2M,2020,11.87,14.57,19.92,23.99,26.11,25.69,25.03,25.33,24.32,23.22,18.77,15.3,21.19
T2M,2021,14.94,17.34,22.59,26.34,25.9,25.56,25.44,25.05,24.51,22.55,17.21,14.21,21.82
T2M,2022,12.51,14,22.99,26.83,26.58,26.89,25.88,25.35,24.21,21.31,17.32,14.29,21.55
QV2M,1981,5.19,4.82,5.86,7.02,11.35,13.98,19.41,19.1,17.03,11.05,7.39,4.7,10.62
QV2M,1982,4.64,5.07,6.29,6.71,7.93,13.67,16.85,18.68,16.24,10.07,6.77,4.21,9.77
QV2M,1983,3.23,2.81,3.48,5.31,8.48,10.99,17.4,17.82,16.3,11.47,5.92,3.85,8.97
QV2M,1984,3.11,3.23,3.48,4.58,8.85,16.48,17.94,18.19,16.17,11.23,5.43,4.03,9.4
QV2M,1985,4.21,2.62,2.93,4.82,7.39,12.08,17.09,18.74,17.21,13.61,8.48,6.23,9.64
QV2M,1986,4.33,4.76,4.46,5,7.32,12.7,18.13,17.82,15.14,9.34,4.88,4.27,9.03
QV2M,1987,3.72,3.72,4.39,4.52,6.41,10.74,17.94,18.43,17.33,12.88,7.08,4.88,9.4
QV2M,1988,4.09,3.97,5.07,5.49,9.64,14.4,18.8,18.62,17.64,11.23,6.04,4.64,10.01
QV2M,1989,3.66,3.6,3.97,2.93,8.54,14.28,17.21,17.94,16.48,9.95,4.52,3.3,8.91
QV2M,1990,2.99,4.82,4.33,4.03,9.4,14.16,18.25,18.62,17.52,11.54,6.41,4.39,9.7
QV2M,1991,3.66,3.42,3.72,3.6,6.71,14.04,17.46,17.7,16.54,9.4,4.46,4.03,8.73
QV2M,1992,3.78,3.17,3.42,3.78,6.84,12.08,15.26,17.21,15.56,10.19,6.16,4.09,8.48
QV2M,1993,3.72,3.3,3.97,5.8,8.36,13.37,17.21,17.4,15.99,9.16,5.68,2.87,8.91
QV2M,1994,3.85,3.72,3.23,4.09,7.93,13.79,17.4,17.64,15.5,8.73,5.19,3.11,8.73
QV2M,1995,3.11,3.54,3.66,3.6,7.2,15.14,18.13,18.62,16.72,10.38,5.8,4.27,9.22
QV2M,1996,3.91,4.46,5.07,4.82,6.35,14.34,17.27,18.13,16.72,11.41,5.13,3.17,9.28
QV2M,1997,2.93,2.5,3.3,6.35,5.92,11.72,18.37,18.07,15.81,8.73,5.8,4.82,8.73
QV2M,1998,3.36,3.85,4.52,5.37,9.89,13.12,18.43,18.68,17.21,13.43,7.45,3.78,9.95
QV2M,1999,3.42,3.54,2.26,2.69,9.95,13.73,17.4,17.4,16.42,11.29,5.37,3.97,8.97
QV2M,2000,2.87,2.99,2.62,4.21,11.54,16.42,18.43,18.31,16.6,11.11,6.65,3.85,9.64
QV2M,2001,3.05,2.81,2.93,4.76,11.47,15.87,17.82,18.13,16.78,12.45,6.9,4.27,9.83
QV2M,2002,4.33,4.09,4.58,6.1,11.35,14.59,16.17,17.21,14.83,10.13,6.1,4.09,9.52
QV2M,2003,3.42,5.13,5.25,5.07,6.96,13.61,17.88,18.13,16.48,9.95,6.29,4.82,9.46
QV2M,2004,4.58,4.27,4.76,7.81,11.05,16.42,18.49,18.92,17.03,11.66,7.51,6.04,10.74
QV2M,2005,5.13,5.68,6.59,5.49,8.06,12.88,18.74,19.04,17.52,12.82,7.87,5,10.44
QV2M,2006,4.09,5.37,5.13,6.29,12.76,16.11,19.23,18.62,17.15,13,8.06,5.68,10.99
QV2M,2007,3.85,6.1,6.71,8.36,11.29,16.11,18.68,18.74,17.27,14.28,8.85,5.25,11.35
QV2M,2008,4.7,4.27,5.19,6.35,10.68,17.52,19.17,18.98,17.15,14.04,9.89,7.57,11.29
QV2M,2009,5.31,4.58,4.46,4.94,11.47,13.37,18.37,18.98,17.46,11.6,7.45,5.25,10.31
QV2M,2010,4.27,4.21,4.46,5.07,10.74,14.1,18.25,18.92,17.46,13.92,10.38,5.43,10.62
QV2M,2011,4.52,4.94,5.25,6.84,12.15,15.44,19.1,18.74,17.64,13.49,9.52,5.55,11.11
QV2M,2012,5,4.76,4.33,6.59,7.14,12.63,18.68,18.43,17.27,12.57,7.45,5.19,10.01
QV2M,2013,4.09,5.74,6.47,7.39,8.85,16.78,18.8,18.13,17.58,14.47,9.4,7.02,11.23
QV2M,2014,5.74,5.8,6.29,5.92,10.07,15.14,19.65,19.17,17.46,13.49,8.54,5.92,11.11
QV2M,2015,5.68,5.92,7.69,9.28,9.64,14.65,18.74,19.41,17.46,12.27,8.67,5.55,11.29
QV2M,2016,4.27,4.52,5.43,5.25,11.23,16.78,19.59,19.29,18.01,13.79,8.79,6.47,11.17
QV2M,2017,5,4.82,5.98,8.18,11.96,15.69,19.1,19.65,18.8,14.47,9.22,5.98,11.6
QV2M,2018,4.03,4.52,4.94,8.91,12.51,17.09,19.29,19.29,17.94,10.99,7.51,5.13,11.05
QV2M,2019,4.76,5.86,6.16,8.91,9.52,15.5,19.65,19.78,17.94,14.34,10.56,6.29,11.66
QV2M,2020,6.35,6.23,8.24,9.34,12.51,17.7,19.71,19.41,18.25,13.98,8.61,6.35,12.27
QV2M,2021,5,4.94,4.88,5.19,12.39,18.49,19.96,19.71,18.62,16.66,11.11,8.3,12.15
QV2M,2022,7.32,6.9,7.93,8,13.18,16.11,19.17,19.23,18.31,14.16,10.74,7.81,12.45
WS10M,1981,1.88,2.29,2.48,2.66,2.41,2.62,2.3,2.08,1.97,1.85,1.77,1.83,2.18
WS10M,1982,2,2.21,2.43,2.84,2.73,2.64,2.59,2.05,1.88,1.95,1.94,1.91,2.27
WS10M,1983,2.04,2.41,2.92,3.05,2.66,2.81,2.28,2.48,2.2,1.82,1.96,1.89,2.38
WS10M,1984,2.2,2.44,2.67,3.14,2.96,2.34,2.2,2.21,2.19,1.82,1.92,1.93,2.34
WS10M,1985,2.08,2.44,2.84,3.26,2.73,2.85,2.5,1.98,1.91,1.58,1.66,1.77,2.3
WS10M,1986,2.03,2.4,2.84,2.79,2.81,2.77,2.36,2.05,2.2,1.96,1.96,1.94,2.34
WS10M,1987,1.98,2.41,2.64,2.99,2.73,2.7,2.31,2.45,1.7,1.62,1.56,1.72,2.23
WS10M,1988,1.92,2.27,2.62,2.73,2.7,2.25,2.26,2.15,2.05,1.81,1.92,1.97,2.22
WS10M,1989,2.11,2.66,2.66,3.38,2.88,2.71,2.58,2.15,2.06,1.91,2.07,1.9,2.41
WS10M,1990,2.06,2.25,2.58,3.07,2.63,2.77,2.38,2.05,1.95,1.79,1.88,1.76,2.27
WS10M,1991,2.06,2.55,2.73,2.92,2.92,2.77,2.68,2.52,1.94,2.01,1.98,1.91,2.41
WS10M,1992,1.93,2.45,3.29,3.56,2.9,2.73,2.69,2.28,2.28,1.97,2.08,1.84,2.5
WS10M,1993,2.17,2.41,2.91,2.91,2.62,2.52,2.88,2.07,2.1,2.02,1.99,1.84,2.37
WS10M,1994,2.16,2.52,2.82,3.02,2.9,2.79,2.6,2.3,2.13,2.03,2.09,2.05,2.45
WS10M,1995,2.14,2.56,2.96,3.23,3.07,2.51,2.47,2.04,2.07,1.88,2.1,1.96,2.41
WS10M,1996,2.18,2.46,2.99,3.02,2.92,2.59,2.41,1.96,1.87,1.91,1.95,1.87,2.34
WS10M,1997,2.11,2.53,2.78,2.74,2.98,2.7,2.29,2.2,2.27,1.98,2.04,1.92,2.38
WS10M,1998,2.11,2.51,2.77,2.95,2.73,2.73,2.62,2.23,2.05,1.83,1.8,1.78,2.34
WS10M,1999,2.02,2.44,3.12,2.98,2.66,2.89,2.5,2.3,2.06,1.91,1.97,1.95,2.4
WS10M,2000,2.22,2.52,2.71,2.95,2.57,2.5,2.33,2.26,1.88,1.87,1.99,1.79,2.3
WS10M,2001,2.09,2.37,2.79,3.03,2.61,2.69,2.53,2.18,1.72,1.83,1.84,1.73,2.28
WS10M,2002,1.95,2.38,2.57,2.9,2.77,2.51,2.34,2.45,2.14,1.95,1.94,1.91,2.31
WS10M,2003,2.02,2.33,2.53,2.69,2.8,2.64,2.52,2.41,2.07,1.91,1.9,1.82,2.3
WS10M,2004,1.95,2.21,2.67,2.55,2.41,2.46,2.49,2.12,1.7,1.71,1.66,1.59,2.12
WS10M,2005,1.88,2.4,2.59,2.57,2.5,2.5,2.49,1.95,1.88,1.56,1.69,1.68,2.14
WS10M,2006,1.91,2.21,2.55,2.61,2.32,2.14,2.35,2,1.88,1.62,1.73,1.7,2.09
WS10M,2007,1.84,2.09,2.35,2.46,2.29,2.47,2.23,1.95,1.9,1.59,1.65,1.74,2.05
WS10M,2008,1.91,2.22,2.54,2.68,2.44,2.28,2.23,2.11,1.67,1.55,1.5,1.6,2.06
WS10M,2009,1.8,2.28,2.52,2.69,2.54,2.42,2.51,1.95,1.77,1.75,1.81,1.73,2.15
WS10M,2010,2.02,2.29,2.72,2.96,2.7,2.79,2.71,2.07,1.96,1.71,1.62,1.62,2.27
WS10M,2011,1.93,2.34,2.67,2.73,2.41,2.46,2.26,2.16,1.76,1.6,1.52,1.67,2.12
WS10M,2012,1.96,2.41,2.6,3.17,2.74,2.64,2.21,1.84,1.89,1.94,1.9,2.02,2.27
WS10M,2013,2.27,2.68,2.72,2.8,2.39,2.05,1.87,1.71,1.86,1.7,1.53,1.65,2.1
WS10M,2014,1.98,2.23,2.55,2.82,2.66,2.14,1.95,2.08,1.93,1.77,1.66,1.65,2.12
WS10M,2015,1.88,2.27,2.6,2.45,2.41,2.46,2.35,2.16,1.86,1.78,1.75,1.81,2.15
WS10M,2016,1.98,2.33,2.7,3.54,2.47,2.03,2.23,1.94,1.83,1.69,1.68,1.65,2.17
WS10M,2017,1.89,2.2,2.52,2.63,2.34,2.31,2.62,2.11,2.1,1.72,1.66,1.68,2.15
WS10M,2018,1.98,2.27,2.59,2.65,2.53,2.33,2.5,1.89,2.24,1.8,1.88,1.78,2.2
WS10M,2019,1.98,2.47,2.65,2.35,2.64,2.43,2.57,2.11,1.94,1.68,1.5,1.61,2.16
WS10M,2020,1.88,2.02,2.44,2.59,2.28,2.44,2.35,2.05,1.88,1.66,1.55,1.67,2.07
WS10M,2021,1.85,2.24,2.84,2.73,2.46,2.37,2.22,2.38,1.91,1.96,1.55,1.59,2.17
WS10M,2022,1.8,2.2,2.48,2.7,2.22,2.16,2.04,2.2,2.02,1.72,1.71,1.72,2.08
PRECTOTCORR,1981,0,0,0,0,5.27,5.27,15.82,10.55,5.27,0,0,0,5.27
PRECTOTCORR,1982,0,0,0,0,0,0,10.55,5.27,5.27,0,0,0,0
PRECTOTCORR,1983,0,0,0,0,0,5.27,5.27,0,0,0,0,0,0
PRECTOTCORR,1984,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,1985,0,0,0,0,0,0,10.55,5.27,5.27,0,0,0,0
PRECTOTCORR,1986,0,0,0,0,0,5.27,10.55,5.27,0,0,0,0,0
PRECTOTCORR,1987,0,0,0,0,0,0,10.55,5.27,5.27,5.27,0,0,0
PRECTOTCORR,1988,0,0,0,0,0,5.27,10.55,10.55,0,0,0,0,0
PRECTOTCORR,1989,0,0,0,0,0,0,5.27,5.27,0,0,0,0,0
PRECTOTCORR,1990,0,0,0,0,0,5.27,15.82,5.27,5.27,0,0,0,0
PRECTOTCORR,1991,0,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,1992,0,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,1993,0,0,0,0,0,5.27,5.27,0,5.27,0,0,0,0
PRECTOTCORR,1994,0,0,0,0,0,5.27,5.27,0,5.27,0,0,0,0
PRECTOTCORR,1995,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0,0
PRECTOTCORR,1996,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0,0
PRECTOTCORR,1997,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0,0
PRECTOTCORR,1998,0,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,1999,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0,0
PRECTOTCORR,2000,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2001,0,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2002,0,0,0,0,0,5.27,5.27,0,0,0,0,0,0
PRECTOTCORR,2003,0,0,0,0,0,5.27,5.27,0,0,0,0,0,0
PRECTOTCORR,2004,0,0,0,5.27,5.27,5.27,10.55,5.27,5.27,0,0,0,5.27
PRECTOTCORR,2005,0,0,0,0,0,5.27,10.55,10.55,0,5.27,0,0,5.27
PRECTOTCORR,2006,0,0,0,0,5.27,10.55,10.55,5.27,5.27,0,0,0,5.27
PRECTOTCORR,2007,0,5.27,0,0,0,5.27,10.55,10.55,5.27,0,0,0,5.27
PRECTOTCORR,2008,0,0,0,0,5.27,10.55,10.55,10.55,5.27,0,0,0,5.27
PRECTOTCORR,2009,0,0,0,0,5.27,5.27,10.55,10.55,0,0,0,0,5.27
PRECTOTCORR,2010,0,0,0,0,0,5.27,10.55,10.55,10.55,0,0,0,5.27
PRECTOTCORR,2011,0,0,0,0,5.27,5.27,10.55,10.55,5.27,0,0,0,5.27
PRECTOTCORR,2012,0,0,0,0,0,0,10.55,5.27,10.55,0,0,0,5.27
PRECTOTCORR,2013,0,0,0,0,5.27,10.55,5.27,10.55,5.27,5.27,0,0,5.27
PRECTOTCORR,2014,0,0,0,0,5.27,10.55,10.55,10.55,10.55,0,0,0,5.27
PRECTOTCORR,2015,0,0,0,0,0,5.27,10.55,15.82,5.27,0,0,0,5.27
PRECTOTCORR,2016,0,0,0,0,5.27,10.55,10.55,5.27,10.55,0,0,0,5.27
PRECTOTCORR,2017,0,0,0,0,5.27,5.27,10.55,10.55,5.27,0,0,0,5.27
PRECTOTCORR,2018,0,0,0,5.27,5.27,5.27,10.55,10.55,5.27,0,0,0,5.27
PRECTOTCORR,2019,0,0,0,0,0,5.27,15.82,5.27,10.55,0,0,0,5.27
PRECTOTCORR,2020,0,0,0,5.27,5.27,10.55,15.82,5.27,10.55,0,0,0,5.27
PRECTOTCORR,2021,0,0,0.34,1.31,9.09,11.48,15.42,16.44,7.17,4.73,0.02,1.1,5.64
PRECTOTCORR,2022,0.19,1.65,0.32,1.92,6.32,10.45,10.1,10.65,7.34,4.42,0,0,4.47
PRECTOTCORR_SUM,1981,26.37,0,26.37,58.01,142.38,147.66,421.88,247.85,110.74,0,26.37,0,1207.62
PRECTOTCORR_SUM,1982,73.83,5.27,21.09,21.09,36.91,68.55,247.85,200.39,131.84,0,10.55,5.27,822.66
PRECTOTCORR_SUM,1983,0,0,10.55,0,42.19,116.02,163.48,68.55,47.46,63.28,0,10.55,522.07
PRECTOTCORR_SUM,1984,5.27,10.55,5.27,5.27,36.91,168.75,232.03,232.03,200.39,15.82,0,0,912.3
PRECTOTCORR_SUM,1985,15.82,0,0,0,26.37,36.91,369.14,210.94,200.39,79.1,0,0,938.67
PRECTOTCORR_SUM,1986,0,15.82,0,5.27,36.91,174.02,247.85,116.02,21.09,31.64,0,31.64,680.27
PRECTOTCORR_SUM,1987,5.27,0,0,5.27,21.09,31.64,274.22,232.03,195.12,89.65,0,0,854.3
PRECTOTCORR_SUM,1988,0,0,36.91,26.37,73.83,105.47,337.5,258.4,68.55,10.55,0,26.37,943.95
PRECTOTCORR_SUM,1989,26.37,5.27,5.27,0,58.01,58.01,237.3,105.47,58.01,10.55,0,0,564.26
PRECTOTCORR_SUM,1990,0,26.37,5.27,0,10.55,100.2,464.06,147.66,110.74,10.55,0,0,875.39
PRECTOTCORR_SUM,1991,0,0,5.27,0,26.37,42.19,163.48,110.74,94.92,0,0,21.09,464.06
PRECTOTCORR_SUM,1992,0,0,0,0,15.82,68.55,142.38,121.29,84.38,47.46,5.27,0,485.16
